"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"1244","63.451460188","130.185.238.170","192.168.15.8","MQTT","70","1883","14","55897","Publish Ack (id=14)"
"1248","63.745510665","192.168.15.8","130.185.238.170","MQTT","338","59943","14","1883","Publish Message (id=14) [devices-4]"
"1254","63.820881536","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"1257","63.896754442","130.185.238.170","192.168.15.8","MQTT","70","1883","14","59943","Publish Ack (id=14)"
"1259","64.012156690","192.168.15.8","130.185.238.170","MQTT","338","55567","14","1883","Publish Message (id=14) [devices-5]"
"1260","64.088815637","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"1264","64.164621878","130.185.238.170","192.168.15.8","MQTT","70","1883","14","55567","Publish Ack (id=14)"
"1272","64.973800055","192.168.15.8","130.185.238.170","MQTT","338","59943","15","1883","Publish Message (id=15) [devices-4]"
"1273","65.053078377","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"1275","65.128697345","130.185.238.170","192.168.15.8","MQTT","70","1883","15","59943","Publish Ack (id=15)"
"1328","66.716190227","192.168.15.8","130.185.238.170","MQTT","338","59943","16","1883","Publish Message (id=16) [devices-4]"
"1337","66.792984154","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"1340","66.868865977","130.185.238.170","192.168.15.8","MQTT","70","1883","16","59943","Publish Ack (id=16)"
"1346","67.064710270","192.168.15.8","130.185.238.170","MQTT","338","55897","15","1883","Publish Message (id=15) [devices-1]"
"1347","67.143927357","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"1351","67.170022821","192.168.15.8","130.185.238.170","MQTT","338","45035","16","1883","Publish Message (id=16) [devices-3]"
"1352","67.223683816","130.185.238.170","192.168.15.8","MQTT","70","1883","15","55897","Publish Ack (id=15)"
"1354","67.248796114","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"1357","67.324716342","130.185.238.170","192.168.15.8","MQTT","70","1883","16","45035","Publish Ack (id=16)"
"1371","67.716138888","192.168.15.8","130.185.238.170","MQTT","338","58693","16","1883","Publish Message (id=16) [devices-2]"
"1372","67.791033467","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"1376","67.866300264","130.185.238.170","192.168.15.8","MQTT","70","1883","16","58693","Publish Ack (id=16)"
"1397","68.766660767","192.168.15.8","130.185.238.170","MQTT","338","55567","15","1883","Publish Message (id=15) [devices-5]"
"1399","68.844820404","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"1401","68.920699655","130.185.238.170","192.168.15.8","MQTT","70","1883","15","55567","Publish Ack (id=15)"
"1405","70.046432133","192.168.15.8","130.185.238.170","MQTT","338","45035","17","1883","Publish Message (id=17) [devices-3]"
"1406","70.124771245","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"1408","70.144769240","192.168.15.8","130.185.238.170","MQTT","338","58693","17","1883","Publish Message (id=17) [devices-2]"
"1409","70.200754176","130.185.238.170","192.168.15.8","MQTT","70","1883","17","45035","Publish Ack (id=17)"
"1411","70.218472811","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"1413","70.294373710","130.185.238.170","192.168.15.8","MQTT","70","1883","17","58693","Publish Ack (id=17)"
"1433","70.747380890","192.168.15.8","130.185.238.170","MQTT","338","55897","16","1883","Publish Message (id=16) [devices-1]"
"1435","70.827874130","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"1437","70.907730871","130.185.238.170","192.168.15.8","MQTT","70","1883","16","55897","Publish Ack (id=16)"
"1444","71.391283011","192.168.15.8","130.185.238.170","MQTT","338","59943","17","1883","Publish Message (id=17) [devices-4]"
"1445","71.468963238","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"1447","71.544777138","130.185.238.170","192.168.15.8","MQTT","70","1883","17","59943","Publish Ack (id=17)"
"1451","71.692746199","192.168.15.8","130.185.238.170","MQTT","338","45035","18","1883","Publish Message (id=18) [devices-3]"
"1452","71.768814376","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"1454","71.844759196","130.185.238.170","192.168.15.8","MQTT","70","1883","18","45035","Publish Ack (id=18)"
"1463","72.698892725","192.168.15.8","130.185.238.170","MQTT","338","59943","18","1883","Publish Message (id=18) [devices-4]"
"1465","72.777073159","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"1469","72.852719400","130.185.238.170","192.168.15.8","MQTT","70","1883","18","59943","Publish Ack (id=18)"
"1485","74.409612230","192.168.15.8","130.185.238.170","MQTT","338","55567","16","1883","Publish Message (id=16) [devices-5]"
"1486","74.484867715","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
