"No.","Time","Source","Destination","Protocol","Length","Message Type","Destination Port","Source Port","Message","Message Identifier","Info"
"12680","621.279040689","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","39299","7b276d657373616765273a2027446671397849704c4f78765530434f5a62723654797753â\200\246","174","Publish Message (id=174) [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"12681","621.291994203","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","39299","1883","7b276d657373616765273a2027446671397849704c4f78765530434f5a62723654797753â\200\246","","Publish Message [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"12683","621.303515132","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","39299","1883","","174","Publish Ack (id=174)"
"12685","621.353365935","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","49891","7b276d657373616765273a20276175577748354a784d54516a6f795a5a6a724376344976â\200\246","173","Publish Message (id=173) [devices-86fe3fcd-4826-49b8-9f6d-9cc9cb5793d7]"
"12686","621.363875839","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","49891","1883","7b276d657373616765273a20276175577748354a784d54516a6f795a5a6a724376344976â\200\246","","Publish Message [devices-86fe3fcd-4826-49b8-9f6d-9cc9cb5793d7]"
"12688","621.375400474","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","49891","1883","","173","Publish Ack (id=173)"
"12690","621.725422142","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","43243","7b276d657373616765273a2027413265386d346f32364c534444596f6462564854776c48â\200\246","173","Publish Message (id=173) [devices-7c810037-db0e-4371-9458-c52078ba9aba]"
"12691","621.735742506","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","43243","1883","7b276d657373616765273a2027413265386d346f32364c534444596f6462564854776c48â\200\246","","Publish Message [devices-7c810037-db0e-4371-9458-c52078ba9aba]"
"12693","621.747564254","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","43243","1883","","173","Publish Ack (id=173)"
"12695","621.891862466","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","42327","7b276d657373616765273a202747416a79437a634c51714634396275303271706c53314dâ\200\246","170","Publish Message (id=170) [devices-aec32284-38bc-4bbb-aaae-61a7795d08df]"
